,book,author,rating_count,page_count,genre,is_volume,author_work_count,author_sex,author_avg_rating,author_rating_count
3246,sons of fortune,jeffrey archer,17408,608,fiction,no,231,male,4.03,736410
3247,the eleventh commandment,jeffrey archer,12915,448,fiction,no,231,male,4.03,736410
3248,ice planet barbarians,ruby dixon,14042,188,romance,yes,92,female,4.05,207128
3249,double fudge,judy blume,20718,224,childrens,yes,97,female,3.88,839917
3250,deenie,judy blume,13622,159,young adult,no,97,female,3.88,839917
3251,fudge-a-mania,judy blume,28603,176,childrens,yes,97,female,3.88,839917
3252,wifey,judy blume,12539,288,fiction,no,97,female,3.88,839917
3253,blubber,judy blume,30895,127,young adult,no,97,female,3.88,839917
3254,it's not the end of the world,judy blume,5954,176,young adult,no,97,female,3.88,839917
3255,otherwise known as sheila the great,judy blume,37195,160,childrens,yes,97,female,3.88,839917
3256,"are you there god? it's me, margaret",judy blume,182988,149,young adult,no,97,female,3.88,839917
3257,summer sisters,judy blume,88207,416,fiction,no,97,female,3.88,839917
3258,tales of a fourth grade nothing,judy blume,129734,144,childrens,yes,97,female,3.88,839917
3259,tiger eyes,judy blume,15107,218,young adult,no,97,female,3.88,839917
3260,forever . . .,judy blume,52060,178,young adult,no,97,female,3.88,839917
3261,starring sally j. freedman as herself,judy blume,13812,296,young adult,no,97,female,3.88,839917
3262,superfudge,judy blume,59331,192,childrens,yes,97,female,3.88,839917
3263,dark fire,c.j. sansom,21401,501,historical-historical fiction,yes,25,male,4.19,155334
3264,winter in madrid,c.j. sansom,13532,549,historical-historical fiction,no,25,male,4.19,155334
3265,lamentation,c.j. sansom,12480,642,historical-historical fiction,yes,25,male,4.19,155334
3266,heartstone,c.j. sansom,15174,634,historical-historical fiction,yes,25,male,4.19,155334
3267,dominion,c.j. sansom,10379,629,historical-historical fiction,no,25,male,4.19,155334
3268,dissolution,c.j. sansom,37895,456,historical-historical fiction,yes,25,male,4.19,155334
3269,sovereign,c.j. sansom,19982,583,historical-historical fiction,yes,25,male,4.19,155334
3270,revelation,c.j. sansom,18870,550,historical-historical fiction,yes,25,male,4.19,155334
3271,reviving ophelia: saving the selves of adolescent girls,mary pipher,24720,293,nonfiction,no,18,female,3.85,39047
3274,malone dies,samuel beckett,3742,120,fiction,yes,370,male,3.88,237332
3277,mal vu mal dit,samuel beckett,324,76,fiction,no,370,male,3.88,237332
3278,mercier and camier,samuel beckett,1248,128,fiction,no,370,male,3.88,237332
3279,novels ii of samuel beckett: volume ii of the grove centenary editions,samuel beckett,64,536,fiction,no,370,male,3.88,237332
3281,the unnamable,samuel beckett,2033,186,fiction,yes,370,male,3.88,237332
3284,"molloy, malone dies, the unnamable",samuel beckett,8026,512,fiction,yes,370,male,3.88,237332
3285,murphy,samuel beckett,4680,288,fiction,no,370,male,3.88,237332
3286,molloy,samuel beckett,6187,241,fiction,yes,370,male,3.88,237332
3287,the royal we,heather cocks,43490,454,romance,yes,6,female,3.77,49985
3288,spoiled,heather cocks,5791,368,young adult,yes,6,female,3.77,49985
3289,aurelia,anne osterlund,6817,246,fantasy,yes,5,female,3.73,16277
3290,academy 7,anne osterlund,6517,272,young adult,no,5,female,3.73,16277
3291,the gate house,nelson demille,16185,677,fiction,yes,94,male,4.02,439253
3292,up country,nelson demille,16803,880,fiction,yes,94,male,4.02,439253
3294,wild fire,nelson demille,23843,519,fiction,yes,94,male,4.02,439253
3295,word of honor,nelson demille,10205,880,fiction,no,94,male,4.02,439253
3296,mayday,nelson demille,6225,480,fiction,no,94,male,4.02,439253
3297,spencerville,nelson demille,8146,496,fiction,no,94,male,4.02,439253
3298,the charm school,nelson demille,32798,816,fiction,no,94,male,4.02,439253
3299,plum island,nelson demille,43422,592,fiction,yes,94,male,4.02,439253
3300,night fall,nelson demille,26681,692,fiction,yes,94,male,4.02,439253
3301,gold coast,nelson demille,24812,637,fiction,yes,94,male,4.02,439253
3302,the general's daughter,nelson demille,59920,464,fiction,yes,94,male,4.02,439253
3303,by the rivers of babylon,nelson demille,6556,460,fiction,no,94,male,4.02,439253
3304,fear the worst,linwood barclay,11574,399,thriller,no,54,male,3.94,179034
3305,no safe house,linwood barclay,6613,464,thriller,yes,54,male,3.94,179034
3306,the accident,linwood barclay,14480,386,mystery,no,54,male,3.94,179034
3307,trust your eyes,linwood barclay,11351,496,thriller,no,54,male,3.94,179034
3308,no time for goodbye,linwood barclay,29448,338,mystery,yes,54,male,3.94,179034
3309,too close to home,linwood barclay,13670,513,thriller,no,54,male,3.94,179034
3310,never look away,linwood barclay,15615,421,thriller,no,54,male,3.94,179034
3311,the heart of texas,r.j. scott,5681,412,romance-m m romance,yes,213,female,3.91,86884
3312,the christmas throwaway,r.j. scott,3067,73,romance-m m romance,no,213,female,3.91,86884
3313,the last dragonslayer,jasper fforde,18992,296,fantasy,yes,34,male,4.01,408331
3314,first among sequels,jasper fforde,23814,363,fantasy,yes,34,male,4.01,408331
3315,one of our thursdays is missing,jasper fforde,17520,362,fantasy,yes,34,male,4.01,408331
3316,the fourth bear,jasper fforde,20919,382,fantasy,yes,34,male,4.01,408331
3317,the eyre affair,jasper fforde,114957,374,fantasy,yes,34,male,4.01,408331
3318,shades of grey,jasper fforde,31908,400,fantasy,yes,34,male,4.01,408331
3319,the well of lost plots,jasper fforde,36318,375,fantasy,yes,34,male,4.01,408331
3320,the big over easy,jasper fforde,30330,383,humor,yes,34,male,4.01,408331
3321,lost in a good book,jasper fforde,48301,399,fantasy,yes,34,male,4.01,408331
3322,something rotten,jasper fforde,31580,385,fantasy,yes,34,male,4.01,408331
3323,how to tell if your cat is plotting to kill you,matthew inman,29758,131,humor,no,17,male,4.04,65910
3324,the 42nd parallel,john dos passos,5989,326,fiction,yes,91,male,3.87,22382
3325,the big money,john dos passos,2330,464,fiction,yes,91,male,3.87,22382
3326,1919,john dos passos,2478,400,fiction,yes,91,male,3.87,22382
3327,manhattan transfer,john dos passos,4622,342,fiction,no,91,male,3.87,22382
3328,u.s.a.: the 42nd parallel / 1919 / the big money,john dos passos,4618,1288,fiction,yes,91,male,3.87,22382
3329,three soldiers,john dos passos,1034,362,fiction,no,91,male,3.87,22382
3339,casa de muã±ecas / el pato salvaje,henrik ibsen,579,224,plays-theatre,no,467,male,3.78,187713
3341,plays 2: a doll's house / an enemy of the people / hedda gabler,henrik ibsen,84,336,drama,no,467,male,3.78,187713
3343,cage of stars,jacquelyn mitchard,5440,289,fiction,no,50,female,3.78,152607
3344,no time to wave goodbye,jacquelyn mitchard,2173,228,fiction,yes,50,female,3.78,152607
3345,the deep end of the ocean,jacquelyn mitchard,115836,464,fiction,yes,50,female,3.78,152607
3346,the front runner,patricia nell warren,5184,320,lgbt,yes,18,female,4.07,6693
3347,the future of our past,kahlen aymes,5335,338,romance,yes,33,female,4.15,24392
3348,don't forget to remember me,kahlen aymes,4287,414,romance,yes,33,female,4.15,24392
3349,a love like this,kahlen aymes,3109,440,romance,yes,33,female,4.15,24392
3350,eternity embraced,larissa ione,5845,44,romance-paranormal romance,yes,70,female,4.24,306176
3351,reaver,larissa ione,9995,383,romance-paranormal romance,yes,70,female,4.24,306176
3352,bloodlust,larissa ione,1301,78,fantasy-paranormal,no,70,female,4.24,306176
3353,bound by night,larissa ione,7251,400,paranormal-vampires,yes,70,female,4.24,306176
3354,overkill: snippets of demonica life,larissa ione,2561,27,fantasy-paranormal,yes,70,female,4.24,306176
3355,supernatural,larissa ione,7335,353,romance-paranormal romance,yes,70,female,4.24,306176
3356,rogue rider,larissa ione,12506,380,romance-paranormal romance,yes,70,female,4.24,306176
3357,apocalypse: the lords of deliverance compendium,larissa ione,1243,76,fantasy-paranormal,yes,70,female,4.24,306176
3358,revenant,larissa ione,7024,368,romance-paranormal romance,yes,70,female,4.24,306176
3359,pleasure unbound,larissa ione,48394,389,romance-paranormal romance,yes,70,female,4.24,306176
3360,passion unleashed,larissa ione,33255,454,romance-paranormal romance,yes,70,female,4.24,306176
3361,desire unchained,larissa ione,31586,380,romance-paranormal romance,yes,70,female,4.24,306176
3362,ecstasy unveiled,larissa ione,26607,400,romance-paranormal romance,yes,70,female,4.24,306176
3363,eternal rider,larissa ione,21663,402,romance-paranormal romance,yes,70,female,4.24,306176
3364,sin undone,larissa ione,26099,400,romance-paranormal romance,yes,70,female,4.24,306176
3365,immortal rider,larissa ione,17055,414,romance-paranormal romance,yes,70,female,4.24,306176
3366,lethal rider,larissa ione,16391,464,romance-paranormal romance,yes,70,female,4.24,306176
3367,don't sweat the small stuff ... and it's all small stuff: simple ways to keep the little things from taking over your life,richard carlson,80550,248,self help,no,746,male,3.97,94007
3368,ùø§ùû ø³ûø§ù ú©ùúùùù,samad behrangi,12518,48,fiction,no,56,male,3.97,22641
3369,"faust, part two",johann wolfgang von goethe,4784,304,classics,yes,2372,male,3.8,207068
3370,wilhelm meister's apprenticeship,johann wolfgang von goethe,2584,396,classics,no,2372,male,3.8,207068
3371,fausto / werther,johann wolfgang von goethe,793,276,classics,no,2372,male,3.8,207068
3373,faust: der tragã¶die erster und zweiter teil. urfaust,johann wolfgang von goethe,612,777,classics,no,2372,male,3.8,207068
3374,the autobiography: truth and poetry: from my own life,johann wolfgang von goethe,227,660,biography,no,2372,male,3.8,207068
3375,iphigenie auf tauris,johann wolfgang von goethe,4432,79,classics,no,2372,male,3.8,207068
3377,"faust, first part",johann wolfgang von goethe,57123,327,classics,yes,2372,male,3.8,207068
3378,the sorrows of young werther,johann wolfgang von goethe,79628,149,classics,no,2372,male,3.8,207068
3379,faust,johann wolfgang von goethe,30137,503,classics,yes,2372,male,3.8,207068
3380,elective affinities,johann wolfgang von goethe,7410,272,classics,no,2372,male,3.8,207068
3381,why men don't listen and women can't read maps: how we're different and what to do about it,allan pease,9405,272,nonfiction,no,58,male,3.89,42270
3382,why men lie and women cry,allan pease,1914,323,nonfiction,no,58,male,3.89,42270
3383,body language: how to read others' thoughts by their gestures,allan pease,2957,152,psychology,no,58,male,3.89,42270
3384,the definitive book of body language,allan pease,21748,400,psychology,no,58,male,3.89,42270
3392,new york dead,stuart woods,13670,303,mystery,yes,120,male,3.88,396505
3393,chiefs,stuart woods,6396,432,mystery,yes,120,male,3.88,396505
3394,lucid intervals,stuart woods,8067,291,mystery,yes,120,male,3.88,396505
3395,dirt,stuart woods,8321,448,mystery,yes,120,male,3.88,396505
3396,loitering with intent,stuart woods,5928,304,mystery,yes,120,male,3.88,396505
3397,swimming to catalina,stuart woods,7972,416,fiction,yes,120,male,3.88,396505
3398,beverly hills dead,stuart woods,3148,294,mystery,yes,120,male,3.88,396505
3399,"one minute to midnight: kennedy, khrushchev and castro on the brink of nuclear war",michael dobbs,3051,384,history,no,47,male,3.88,15501
3400,"one minute to midnight: kennedy, khrushchev and castro on the brink of nuclear war",michael dobbs,3051,384,history,no,6,male,4.17,4564
3401,collected stories,william faulkner,7237,900,short stories,no,628,male,3.85,495622
3402,"go down, moses",william faulkner,8953,365,fiction,no,628,male,3.85,495622
3403,sanctuary,william faulkner,10921,317,fiction,no,628,male,3.85,495622
3404,intruder in the dust,william faulkner,4872,247,fiction,no,628,male,3.85,495622
3405,snopes,william faulkner,712,1072,fiction,yes,628,male,3.85,495622
3406,the wild palms,william faulkner,3882,304,fiction,no,628,male,3.85,495622
3407,a rose for emily,william faulkner,4947,36,short stories,no,628,male,3.85,495622
3408,flags in the dust,william faulkner,1024,448,fiction,no,628,male,3.85,495622
3409,pylon,william faulkner,551,336,fiction,no,628,male,3.85,495622
3410,the sound and the fury,william faulkner,155939,366,classics,no,628,male,3.85,495622
3411,as i lay dying,william faulkner,134111,288,classics,no,628,male,3.85,495622
3412,"absalom, absalom!",william faulkner,38251,316,classics,no,628,male,3.85,495622
3413,light in august,william faulkner,52867,507,fiction,no,628,male,3.85,495622
3414,the reivers,william faulkner,6453,305,fiction,no,628,male,3.85,495622
3415,the hamlet,william faulkner,4613,409,fiction,yes,628,male,3.85,495622
3416,a rose for emily and other stories,william faulkner,25048,140,classics,no,628,male,3.85,495622
3417,dangerous lady,martina cole,4907,566,mystery-crime,yes,52,female,4.18,79715
3418,the ladykiller,martina cole,5510,629,mystery-crime,yes,52,female,4.18,79715
3419,two women,martina cole,5108,576,mystery-crime,no,52,female,4.18,79715
3420,the siege of krishnapur,j.g. farrell,6129,344,fiction,yes,10,male,3.87,11429
3421,troubles,j.g. farrell,3837,459,fiction,yes,10,male,3.87,11429
3422,prayers for bobby: a mother's coming to terms with the suicide of her gay son,leroy aarons,1280,271,nonfiction,no,3,male,4.27,1281
3423,witness,karen hesse,5036,161,historical-historical fiction,no,31,female,3.77,104681
3424,the music of dolphins,karen hesse,6287,181,young adult,no,31,female,3.77,104681
3425,aleutian sparrow,karen hesse,835,160,historical-historical fiction,no,31,female,3.77,104681
3426,safekeeping,karen hesse,2299,304,young adult,no,31,female,3.77,104681
3427,phoenix rising,karen hesse,1524,192,young adult,no,31,female,3.77,104681
3428,letters from rifka,karen hesse,9778,160,historical-historical fiction,no,31,female,3.77,104681
3429,out of the dust,karen hesse,67078,227,historical-historical fiction,no,31,female,3.77,104681
3430,"the monuments men: allied heroes, nazi thieves, and the greatest treasure hunt in history",robert m. edsel,44371,473,history,no,8,male,3.76,46459
3431,rescuing da vinci,robert m. edsel,414,302,history,no,8,male,3.76,46459
3432,the winthrop woman,anya seton,5040,588,historical-historical fiction,no,21,female,4.05,52758
3433,devil water,anya seton,1576,526,historical-historical fiction,no,21,female,4.05,52758
3434,avalon,anya seton,3578,440,historical-historical fiction,no,21,female,4.05,52758
3435,the turquoise,anya seton,744,320,historical-historical fiction,no,21,female,4.05,52758
3436,katherine,anya seton,28576,500,historical-historical fiction,no,21,female,4.05,52758
3437,dragonwyck,anya seton,4845,342,historical-historical fiction,no,21,female,4.05,52758
3438,house of dark shadows,robert liparulo,6798,295,fantasy,yes,27,male,4.1,27309
3439,comes a horseman,robert liparulo,2185,619,fiction,no,27,male,4.1,27309
3440,color: a natural history of the palette,victoria finlay,62545,464,nonfiction,no,5,female,3.79,63850
3441,naamah's curse,jacqueline carey,10063,576,fantasy,yes,5,female,2.59,172
3442,naamah's curse,jacqueline carey,10063,576,fantasy,yes,59,female,4.12,273754
3443,naamah's kiss,jacqueline carey,13215,645,fantasy,yes,5,female,2.59,172
3444,naamah's kiss,jacqueline carey,13215,645,fantasy,yes,59,female,4.12,273754
3445,santa olivia,jacqueline carey,8357,341,fantasy,yes,5,female,2.59,172
3446,santa olivia,jacqueline carey,8357,341,fantasy,yes,59,female,4.12,273754
3447,der fluch der gã¶tter,jacqueline carey,3074,464,fantasy,yes,5,female,2.59,172
3448,der fluch der gã¶tter,jacqueline carey,3074,464,fantasy,yes,59,female,4.12,273754
3449,saints astray,jacqueline carey,2798,368,fantasy,yes,5,female,2.59,172
3450,saints astray,jacqueline carey,2798,368,fantasy,yes,59,female,4.12,273754
3451,kushiel's dart,jacqueline carey,68131,1015,fantasy,yes,5,female,2.59,172
3452,kushiel's dart,jacqueline carey,68131,1015,fantasy,yes,59,female,4.12,273754
3453,kushiel's avatar,jacqueline carey,33035,702,fantasy,yes,5,female,2.59,172
3454,kushiel's avatar,jacqueline carey,33035,702,fantasy,yes,59,female,4.12,273754
3455,kushiel's chosen,jacqueline carey,35065,678,fantasy,yes,5,female,2.59,172
3456,kushiel's chosen,jacqueline carey,35065,678,fantasy,yes,59,female,4.12,273754
3457,kushiel's mercy,jacqueline carey,16210,653,fantasy,yes,5,female,2.59,172
3458,kushiel's mercy,jacqueline carey,16210,653,fantasy,yes,59,female,4.12,273754
3459,kushiel's justice,jacqueline carey,17616,703,fantasy,yes,5,female,2.59,172
3460,kushiel's justice,jacqueline carey,17616,703,fantasy,yes,59,female,4.12,273754
3461,kushiel's scion,jacqueline carey,19777,944,fantasy,yes,5,female,2.59,172
3462,kushiel's scion,jacqueline carey,19777,944,fantasy,yes,59,female,4.12,273754
3463,naamah's blessing,jacqueline carey,9149,610,fantasy,yes,5,female,2.59,172
3464,naamah's blessing,jacqueline carey,9149,610,fantasy,yes,59,female,4.12,273754
3465,the once and future king,t.h. white,3598,823,fantasy,yes,73,male,4.02,139389
3466,the candle in the wind,t.h. white,1393,208,fantasy,yes,73,male,4.02,139389
3467,the book of merlyn,t.h. white,8384,160,fantasy,yes,73,male,4.02,139389
3468,the witch in the wood,t.h. white,1711,269,fantasy,yes,73,male,4.02,139389
3469,the ill-made knight,t.h. white,1665,291,fantasy,yes,73,male,4.02,139389
3470,the once and future king,t.h. white,94780,639,fantasy,yes,73,male,4.02,139389
3471,the sword in the stone,t.h. white,22883,352,fantasy,yes,73,male,4.02,139389
3472,no hurry to get home: the memoir of the new yorker writer whose unconventional life and adventures spanned the century,emily hahn,228,312,autobiography-memoir,no,53,female,3.83,962
3473,evidence of things unseen,marianne wiggins,2368,400,fiction,no,12,female,3.84,4323
3474,romeo's ex: rosaline's story,lisa fiedler,1020,256,historical-historical fiction,no,19,female,3.88,4544
3475,wherever nina lies,lynn weingarten,3245,320,young adult,no,8,female,3.54,17665
3476,suicide notes from beautiful girls,lynn weingarten,10476,320,young adult,no,8,female,3.54,17665
3477,the last concubine,lesley downer,2821,480,historical-historical fiction,yes,22,female,3.78,6481
3478,gai-jin,james clavell,12853,1236,historical-historical fiction,yes,87,male,4.3,288604
3479,"shogun, part 1",james clavell,6739,533,historical-historical fiction,yes,87,male,4.3,288604
3480,shågun,james clavell,142757,1152,historical-historical fiction,yes,87,male,4.3,288604
3481,tai-pan,james clavell,43786,734,historical-historical fiction,yes,87,male,4.3,288604
3482,noble house,james clavell,36338,1376,historical-historical fiction,yes,87,male,4.3,288604
3483,king rat,james clavell,32610,368,historical-historical fiction,yes,87,male,4.3,288604
3484,whirlwind,james clavell,6410,1231,historical-historical fiction,yes,87,male,4.3,288604
3485,last and first men/star maker,olaf stapledon,539,438,science fiction,no,63,male,3.86,15026
3486,odd john,olaf stapledon,1183,209,science fiction,no,63,male,3.86,15026
3487,star maker,olaf stapledon,6295,272,science fiction,no,63,male,3.86,15026
3488,the advanced genius theory: are they out of their minds or ahead of their time?,jason hartley,380,288,nonfiction,no,4,male,3.53,384
3489,eleven,patricia reilly giff,3261,176,mystery,no,165,female,3.87,56998
3490,genevieve's war,patricia reilly giff,541,240,historical-historical fiction,no,165,female,3.87,56998
3491,pictures of hollis woods,patricia reilly giff,27356,166,young adult,no,165,female,3.87,56998
3492,lily's crossing,patricia reilly giff,8643,181,historical-historical fiction,no,165,female,3.87,56998
3493,the catch trap,marion zimmer bradley,1766,688,fiction,no,413,female,4.0,432998
3494,black trillium,marion zimmer bradley,3795,491,fantasy,yes,413,female,4.0,432998
3495,lady of avalon,marion zimmer bradley,16056,460,fantasy,yes,413,female,4.0,432998
3496,vlã¡dkynä jeståã¡bå¯,marion zimmer bradley,4180,382,fantasy,yes,413,female,4.0,432998
3497,the planet savers,marion zimmer bradley,1667,91,science fiction,yes,413,female,4.0,432998
3498,the forbidden tower,marion zimmer bradley,2958,365,fantasy,yes,413,female,4.0,432998
3499,exile's song,marion zimmer bradley,2594,496,fantasy,yes,413,female,4.0,432998
3500,darkover landfall,marion zimmer bradley,6145,160,fantasy,yes,413,female,4.0,432998
3501,the heritage of hastur,marion zimmer bradley,3092,381,fantasy,yes,413,female,4.0,432998
3502,thendara house,marion zimmer bradley,2758,414,fantasy,yes,413,female,4.0,432998
3503,endless universe,marion zimmer bradley,171,341,science fiction,no,413,female,4.0,432998
3504,the mists of avalon,marion zimmer bradley,186380,912,fantasy,yes,413,female,4.0,432998
3505,the firebrand,marion zimmer bradley,9525,608,historical-historical fiction,no,413,female,4.0,432998
3506,the forest house,marion zimmer bradley,17206,462,fantasy,yes,413,female,4.0,432998
3507,the high queen,marion zimmer bradley,5322,13,fantasy,yes,413,female,4.0,432998
3508,priestess of avalon,marion zimmer bradley,16217,416,fantasy,yes,413,female,4.0,432998
3509,the king stag,marion zimmer bradley,4292,12,fantasy,yes,413,female,4.0,432998
3510,darkness unleashed,alexandra ivy,7283,357,romance-paranormal romance,yes,124,female,4.09,141870
3511,beyond the darkness,alexandra ivy,7803,370,romance-paranormal romance,yes,124,female,4.09,141870
3512,devoured by darkness,alexandra ivy,6680,368,romance-paranormal romance,yes,124,female,4.09,141870
3513,darkness revealed,alexandra ivy,7310,363,romance-paranormal romance,yes,124,female,4.09,141870
3514,darkness avenged,alexandra ivy,2524,377,romance-paranormal romance,yes,124,female,4.09,141870
3515,blood assassin,alexandra ivy,1373,405,fantasy-paranormal,yes,124,female,4.09,141870
3516,when darkness comes,alexandra ivy,13395,359,romance-paranormal romance,yes,124,female,4.09,141870
3517,embrace the darkness,alexandra ivy,9152,334,paranormal-vampires,yes,124,female,4.09,141870
3518,darkness everlasting,alexandra ivy,9418,395,romance-paranormal romance,yes,124,female,4.09,141870
3519,hotel kerobokan,kathryn bonella,3697,308,nonfiction,no,8,female,3.95,7550
3520,snowing in bali,kathryn bonella,2499,384,nonfiction,no,8,female,3.95,7550
3521,runaway horses,yukio mishima,4744,432,fiction,yes,173,male,3.93,106203
3522,confessions of a mask,yukio mishima,14517,224,fiction,no,173,male,3.93,106203
3523,the sound of waves,yukio mishima,10834,183,fiction,no,173,male,3.93,106203
3524,forbidden colors,yukio mishima,2740,403,fiction,no,173,male,3.93,106203
3525,áá¥á áá¡ á¢áá«áá á,yukio mishima,11503,266,fiction,no,173,male,3.93,106203
3526,way of the samurai,yukio mishima,579,166,cultural-japan,no,173,male,3.93,106203
3527,the sea of fertility,yukio mishima,419,1489,cultural-japan,yes,173,male,3.93,106203
3528,the decay of the angel,yukio mishima,3023,236,fiction,yes,173,male,3.93,106203
3529,the temple of dawn,yukio mishima,3257,336,fiction,yes,173,male,3.93,106203
3530,the frolic of the beasts,yukio mishima,741,166,fiction,no,173,male,3.93,106203
3531,the temple of the golden pavilion,yukio mishima,11451,247,fiction,no,173,male,3.93,106203
3532,the sailor who fell from grace with the sea,yukio mishima,18973,181,fiction,no,173,male,3.93,106203
3533,spring snow,yukio mishima,11716,389,fiction,yes,173,male,3.93,106203
3534,she smells the dead,e.j. stevens,609,186,fantasy-paranormal,yes,43,female,3.83,6532
3535,spirit storm,e.j. stevens,212,210,fantasy-paranormal,yes,43,female,3.83,6532
3536,the cage,ruth minsky sender,5658,264,world war ii-holocaust,no,4,female,4.07,5923
3537,ø§ùø¹øµùùø±ùø©,ghazi a. algosaibi,3293,304,novels,no,83,male,3.78,73125
3539,ù§,ghazi a. algosaibi,1981,336,novels,no,83,male,3.78,73125
3540,ø´ùø© ø§ùø­ø±ùø©,ghazi a. algosaibi,5070,463,novels,no,83,male,3.78,73125
3541,ø§ùø¬ùùø©,ghazi a. algosaibi,6171,239,novels,no,83,male,3.78,73125
3542,ø­ùø§ø© ùù ø§ùø¥ø¯ø§ø±ø©,ghazi a. algosaibi,10910,358,biography,no,83,male,3.78,73125
3543,"one, two ... he is coming for you",willow rose,2837,274,mystery,yes,121,female,4.1,72161
3544,savage,willow rose,439,476,fantasy-paranormal,yes,121,female,4.1,72161
3545,ransom,david malouf,3161,224,fiction,no,66,male,3.73,16129
3546,johnno,david malouf,911,256,fiction,no,66,male,3.73,16129
3547,remembering babylon,david malouf,2792,200,fiction,no,66,male,3.73,16129
3548,an imaginary life,david malouf,1915,156,fiction,no,66,male,3.73,16129
3549,inside the outside,martin lastrapes,298,292,horror,no,10,male,3.94,456
3550,never the bride,rene gutteridge,859,310,christian fiction,no,38,female,3.74,11784
3551,possession,rene gutteridge,171,381,christian fiction,no,38,female,3.74,11784
3552,old fashioned,rene gutteridge,494,320,christian fiction,no,38,female,3.74,11784
3553,ico: castle in the mist,miyuki miyabe,900,370,fantasy,no,152,female,3.83,11925
3554,brave story,miyuki miyabe,2511,816,fantasy,no,152,female,3.83,11925
3555,the seven - the key of credence,veronica mist,33,262,young adult,no,1,female,4.76,33
3556,the cahokian,zoe saadia,60,320,historical-historical fiction,no,32,female,4.19,4783
3557,nightjohn,gary paulsen,4785,112,historical-historical fiction,yes,224,male,3.79,461181
3558,"clabbered dirt, sweet grass",gary paulsen,227,120,fiction,no,224,male,3.79,461181
3559,harris and me,gary paulsen,4816,176,young adult,yes,224,male,3.79,461181
3560,soldier's heart: being the story of the enlistment and due service of the boy charley goddard in the first minnesota volunteers,gary paulsen,3693,128,historical-historical fiction,no,224,male,3.79,461181
3561,brian's hunt,gary paulsen,9985,105,young adult,yes,224,male,3.79,461181
3562,brian's return,gary paulsen,13277,144,fiction,yes,224,male,3.79,461181
3563,brian's winter,gary paulsen,25170,144,young adult,yes,224,male,3.79,461181
3564,the river,gary paulsen,21711,160,fiction,yes,224,male,3.79,461181
3565,winterdance: the fine madness of running the iditarod,gary paulsen,5793,272,nonfiction,no,224,male,3.79,461181
3566,hatchet,gary paulsen,295622,208,young adult,yes,224,male,3.79,461181
3567,the transall saga,gary paulsen,4476,256,science fiction,no,224,male,3.79,461181
3568,dogsong,gary paulsen,5608,162,fiction,no,224,male,3.79,461181
3569,henry's sisters,cathy lamb,4728,439,fiction,no,23,female,3.97,38542
3570,the last time i was me,cathy lamb,4452,405,fiction,no,23,female,3.97,38542
3571,blood ransom,sophie mckenzie,1989,432,young adult,yes,46,female,3.96,51361
3572,"sister, missing",sophie mckenzie,3691,250,young adult,yes,46,female,3.96,51361
3573,missing me,sophie mckenzie,2260,304,contemporary,yes,46,female,3.96,51361
3574,the set up,sophie mckenzie,3069,279,young adult,yes,46,female,3.96,51361
3575,double-cross,sophie mckenzie,1141,229,young adult,yes,46,female,3.96,51361
3576,hunted,sophie mckenzie,1453,272,young adult,yes,46,female,3.96,51361
3577,the rescue,sophie mckenzie,1693,264,young adult,yes,46,female,3.96,51361
3578,the hostage,sophie mckenzie,2023,256,young adult,yes,46,female,3.96,51361
3579,hit squad,sophie mckenzie,961,258,young adult,yes,46,female,3.96,51361
3580,split second,sophie mckenzie,1175,357,young adult,yes,46,female,3.96,51361
3581,"girl, missing",sophie mckenzie,9591,283,young adult,yes,46,female,3.96,51361
3582,blood ties,sophie mckenzie,4285,438,young adult,yes,46,female,3.96,51361
3583,dead and beyond,jayde scott,1219,292,fantasy-paranormal,yes,14,female,3.81,15442
3584,born to spy,jayde scott,93,186,mystery,no,14,female,3.81,15442
3585,a job from hell,jayde scott,8067,371,paranormal-vampires,yes,14,female,3.81,15442
3586,doomed,jayde scott,1924,322,fantasy-paranormal,yes,14,female,3.81,15442
3587,pieces of you,tablo,1621,229,short stories,no,4,male,4.32,2292
3588,hammered: memoir of an addict,geoff brown,116,180,autobiography-memoir,no,40,male,4.07,1481
3589,edible delectables,amy wiseman,614,220,romance,no,3,female,3.43,612
3590,girl unmoored,jennifer gooch hummer,482,325,young adult,no,3,female,4.07,511
3591,vanity fierce,graeme aitken,97,408,lgbt-gay,yes,11,male,3.25,780
3592,twisted,jenny phillips,55,84,fairy tales-fairy tale retellings,yes,2,female,4.17,106
3593,twisted,jenny phillips,55,84,fairy tales-fairy tale retellings,yes,40,female,4.54,345
3594,awaken,sarah m. ross,761,206,fantasy-paranormal,yes,9,female,3.8,3368
3595,echo of an earth angel,sarah m. ross,152,295,paranormal-angels,yes,9,female,3.8,3368
3596,avenge,sarah m. ross,174,250,fantasy-paranormal,yes,9,female,3.8,3368
3598,eden,david holley,225,281,horror-zombies,no,1,male,3.57,224
3599,ðð¾ð½ðµð´ðµð»ñð½ð¸ðº ð½ð°ñð¸ð½ð°ðµñññ ð² ññð±ð±ð¾ññ,arkady strugatsky,11851,276,science fiction,yes,243,male,4.17,104290
3600,ðð¾ñð¸ ð½ð°ññð½ ð½ðµ ð²ð¸ð¶ð´ð°ð¼ðµ ð¿ð¾ðºð¾ð¹,arkady strugatsky,31,486,cultural-russia,no,243,male,4.17,104290
